mode,rel_ba_pct,p,lr,steps,seed,pairs_csv,bh_macro,model_dir
erm,10.0,0.9090909090909091,1e-05,1000,2,runs/erm_wt2_p091_lr1e-05_s2_t1000/bh_erm_p091_lr1e-05_s2_t1000.csv,0.6761298465903753,runs/erm_wt2_p091_lr1e-05_s2_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,3,runs/ilm_wt2_p091_lr1e-05_s3_t1000/bh_ilm_p091_lr1e-05_s3_t1000.csv,0.5904474949851499,runs/ilm_wt2_p091_lr1e-05_s3_t1000
erm,10.0,0.9090909090909091,1e-05,1000,3,runs/erm_wt2_p091_lr1e-05_s3_t1000/bh_erm_p091_lr1e-05_s3_t1000.csv,0.6646756917992361,runs/erm_wt2_p091_lr1e-05_s3_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,4,runs/ilm_wt2_p091_lr1e-05_s4_t1000/bh_ilm_p091_lr1e-05_s4_t1000.csv,0.5974810657407449,runs/ilm_wt2_p091_lr1e-05_s4_t1000
erm,10.0,0.9090909090909091,1e-05,1000,4,runs/erm_wt2_p091_lr1e-05_s4_t1000/bh_erm_p091_lr1e-05_s4_t1000.csv,0.6622046009703928,runs/erm_wt2_p091_lr1e-05_s4_t1000
ilm,10.0,0.9090909090909091,1e-05,2500,0,runs/ilm_wt2_p091_lr1e-05_s0_t2500/bh_ilm_p091_lr1e-05_s0_t2500.csv,0.5331013045019316,runs/ilm_wt2_p091_lr1e-05_s0_t2500
erm,10.0,0.9090909090909091,1e-05,2500,0,runs/erm_wt2_p091_lr1e-05_s0_t2500/bh_erm_p091_lr1e-05_s0_t2500.csv,0.6649735404200616,runs/erm_wt2_p091_lr1e-05_s0_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,1,runs/ilm_wt2_p091_lr1e-05_s1_t2500/bh_ilm_p091_lr1e-05_s1_t2500.csv,0.5364182086722299,runs/ilm_wt2_p091_lr1e-05_s1_t2500
erm,10.0,0.9090909090909091,1e-05,2500,1,runs/erm_wt2_p091_lr1e-05_s1_t2500/bh_erm_p091_lr1e-05_s1_t2500.csv,0.674775194419621,runs/erm_wt2_p091_lr1e-05_s1_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,2,runs/ilm_wt2_p091_lr1e-05_s2_t2500/bh_ilm_p091_lr1e-05_s2_t2500.csv,0.5349515072172486,runs/ilm_wt2_p091_lr1e-05_s2_t2500
erm,10.0,0.9090909090909091,1e-05,2500,2,runs/erm_wt2_p091_lr1e-05_s2_t2500/bh_erm_p091_lr1e-05_s2_t2500.csv,0.6637373273508044,runs/erm_wt2_p091_lr1e-05_s2_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,3,runs/ilm_wt2_p091_lr1e-05_s3_t2500/bh_ilm_p091_lr1e-05_s3_t2500.csv,0.5572730793207592,runs/ilm_wt2_p091_lr1e-05_s3_t2500
erm,10.0,0.9090909090909091,1e-05,2500,3,runs/erm_wt2_p091_lr1e-05_s3_t2500/bh_erm_p091_lr1e-05_s3_t2500.csv,0.674085476679504,runs/erm_wt2_p091_lr1e-05_s3_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,4,runs/ilm_wt2_p091_lr1e-05_s4_t2500/bh_ilm_p091_lr1e-05_s4_t2500.csv,0.5359653687126149,runs/ilm_wt2_p091_lr1e-05_s4_t2500
erm,10.0,0.9090909090909091,1e-05,2500,4,runs/erm_wt2_p091_lr1e-05_s4_t2500/bh_erm_p091_lr1e-05_s4_t2500.csv,0.6721347352348809,runs/erm_wt2_p091_lr1e-05_s4_t2500
ilm,10.0,0.9090909090909091,5e-05,10,0,runs/ilm_wt2_p091_lr5e-05_s0_t10/bh_ilm_p091_lr5e-05_s0_t10.csv,0.6682601599959581,runs/ilm_wt2_p091_lr5e-05_s0_t10
erm,10.0,0.9090909090909091,5e-05,10,0,runs/erm_wt2_p091_lr5e-05_s0_t10/bh_erm_p091_lr5e-05_s0_t10.csv,0.6816901613736263,runs/erm_wt2_p091_lr5e-05_s0_t10
ilm,10.0,0.9090909090909091,5e-05,10,1,runs/ilm_wt2_p091_lr5e-05_s1_t10/bh_ilm_p091_lr5e-05_s1_t10.csv,0.6646648885331726,runs/ilm_wt2_p091_lr5e-05_s1_t10
erm,10.0,0.9090909090909091,5e-05,10,1,runs/erm_wt2_p091_lr5e-05_s1_t10/bh_erm_p091_lr5e-05_s1_t10.csv,0.6820913248534508,runs/erm_wt2_p091_lr5e-05_s1_t10
ilm,10.0,0.9090909090909091,5e-05,10,2,runs/ilm_wt2_p091_lr5e-05_s2_t10/bh_ilm_p091_lr5e-05_s2_t10.csv,0.6877790791361428,runs/ilm_wt2_p091_lr5e-05_s2_t10
erm,10.0,0.9090909090909091,5e-05,10,2,runs/erm_wt2_p091_lr5e-05_s2_t10/bh_erm_p091_lr5e-05_s2_t10.csv,0.6523757140208942,runs/erm_wt2_p091_lr5e-05_s2_t10
ilm,10.0,0.9090909090909091,5e-05,10,3,runs/ilm_wt2_p091_lr5e-05_s3_t10/bh_ilm_p091_lr5e-05_s3_t10.csv,0.6668292737204401,runs/ilm_wt2_p091_lr5e-05_s3_t10
erm,10.0,0.9090909090909091,5e-05,10,3,runs/erm_wt2_p091_lr5e-05_s3_t10/bh_erm_p091_lr5e-05_s3_t10.csv,0.6465851918257752,runs/erm_wt2_p091_lr5e-05_s3_t10
ilm,10.0,0.9090909090909091,5e-05,10,4,runs/ilm_wt2_p091_lr5e-05_s4_t10/bh_ilm_p091_lr5e-05_s4_t10.csv,0.6403038300058247,runs/ilm_wt2_p091_lr5e-05_s4_t10
erm,10.0,0.9090909090909091,5e-05,10,4,runs/erm_wt2_p091_lr5e-05_s4_t10/bh_erm_p091_lr5e-05_s4_t10.csv,0.668369952663068,runs/erm_wt2_p091_lr5e-05_s4_t10
ilm,10.0,0.9090909090909091,5e-05,50,0,runs/ilm_wt2_p091_lr5e-05_s0_t50/bh_ilm_p091_lr5e-05_s0_t50.csv,0.6108519656602224,runs/ilm_wt2_p091_lr5e-05_s0_t50
erm,10.0,0.9090909090909091,5e-05,50,0,runs/erm_wt2_p091_lr5e-05_s0_t50/bh_erm_p091_lr5e-05_s0_t50.csv,0.6528084516457286,runs/erm_wt2_p091_lr5e-05_s0_t50
ilm,10.0,0.9090909090909091,5e-05,50,1,runs/ilm_wt2_p091_lr5e-05_s1_t50/bh_ilm_p091_lr5e-05_s1_t50.csv,0.6357898010534565,runs/ilm_wt2_p091_lr5e-05_s1_t50
erm,10.0,0.9090909090909091,5e-05,50,1,runs/erm_wt2_p091_lr5e-05_s1_t50/bh_erm_p091_lr5e-05_s1_t50.csv,0.6944356218908678,runs/erm_wt2_p091_lr5e-05_s1_t50
ilm,10.0,0.9090909090909091,5e-05,50,2,runs/ilm_wt2_p091_lr5e-05_s2_t50/bh_ilm_p091_lr5e-05_s2_t50.csv,0.5752285073149456,runs/ilm_wt2_p091_lr5e-05_s2_t50
erm,10.0,0.9090909090909091,5e-05,50,2,runs/erm_wt2_p091_lr5e-05_s2_t50/bh_erm_p091_lr5e-05_s2_t50.csv,0.6681055229136604,runs/erm_wt2_p091_lr5e-05_s2_t50
ilm,10.0,0.9090909090909091,5e-05,50,3,runs/ilm_wt2_p091_lr5e-05_s3_t50/bh_ilm_p091_lr5e-05_s3_t50.csv,0.5869276120237686,runs/ilm_wt2_p091_lr5e-05_s3_t50
erm,10.0,0.9090909090909091,5e-05,50,3,runs/erm_wt2_p091_lr5e-05_s3_t50/bh_erm_p091_lr5e-05_s3_t50.csv,0.6769864134619202,runs/erm_wt2_p091_lr5e-05_s3_t50
ilm,10.0,0.9090909090909091,5e-05,50,4,runs/ilm_wt2_p091_lr5e-05_s4_t50/bh_ilm_p091_lr5e-05_s4_t50.csv,0.6434075682800402,runs/ilm_wt2_p091_lr5e-05_s4_t50
erm,10.0,0.9090909090909091,5e-05,50,4,runs/erm_wt2_p091_lr5e-05_s4_t50/bh_erm_p091_lr5e-05_s4_t50.csv,0.6613113071677726,runs/erm_wt2_p091_lr5e-05_s4_t50
ilm,10.0,0.9090909090909091,5e-05,100,0,runs/ilm_wt2_p091_lr5e-05_s0_t100/bh_ilm_p091_lr5e-05_s0_t100.csv,0.6098278407837575,runs/ilm_wt2_p091_lr5e-05_s0_t100
erm,10.0,0.9090909090909091,5e-05,100,0,runs/erm_wt2_p091_lr5e-05_s0_t100/bh_erm_p091_lr5e-05_s0_t100.csv,0.6733055943635959,runs/erm_wt2_p091_lr5e-05_s0_t100
ilm,10.0,0.9090909090909091,5e-05,100,1,runs/ilm_wt2_p091_lr5e-05_s1_t100/bh_ilm_p091_lr5e-05_s1_t100.csv,0.6165753945510228,runs/ilm_wt2_p091_lr5e-05_s1_t100
erm,10.0,0.9090909090909091,5e-05,100,1,runs/erm_wt2_p091_lr5e-05_s1_t100/bh_erm_p091_lr5e-05_s1_t100.csv,0.678126571295304,runs/erm_wt2_p091_lr5e-05_s1_t100
ilm,10.0,0.9090909090909091,5e-05,100,2,runs/ilm_wt2_p091_lr5e-05_s2_t100/bh_ilm_p091_lr5e-05_s2_t100.csv,0.5829758747436422,runs/ilm_wt2_p091_lr5e-05_s2_t100
erm,10.0,0.9090909090909091,5e-05,100,2,runs/erm_wt2_p091_lr5e-05_s2_t100/bh_erm_p091_lr5e-05_s2_t100.csv,0.6661784480376445,runs/erm_wt2_p091_lr5e-05_s2_t100
ilm,10.0,0.9090909090909091,5e-05,100,3,runs/ilm_wt2_p091_lr5e-05_s3_t100/bh_ilm_p091_lr5e-05_s3_t100.csv,0.5922514887765715,runs/ilm_wt2_p091_lr5e-05_s3_t100
